pmid,title,journal,year,abstract,authors,tier,relevance_score,matched_keywords,tissues_mentioned,priority_score
40458203,Efficacy and preliminary safety assessment of EXG001-307 AAV gene therapy for spinal muscular atrophy.,Molecular therapy. Methods & clinical development,2025,"Spinal muscular atrophy (SMA) is an autosomal recessive neurodegenerative disorder characterized by progressive muscular weakness due to the loss of lower motor neurons. The most severe and common form, SMA type 1 (Werdnig-Hoffmann disease), is a devastating childhood condition. Exegenesis Bio is developing EXG001-307, a recombinant adeno-associated virus (rAAV) gene therapy, for SMA type 1 patients lacking functional <i>SMN1</i> and possessing only 1-2 copies of <i>SMN2</i>. EXG001-307 is an AAV9-based gene therapy vector containing a human SMN cDNA expression cassette driven by a neuron-specific promoter (human synapsin promoter) with cytomegalovirus (CMV) enhancer. In preclinical studies using an SMA mouse model, EXG001-307 demonstrated significant therapeutic efficacy, as evidenced by improved survival rates, enhanced weight gain, and restoration of motor functions. Additionally, EXG001-307 showed reduced transgene expression in the heart, leading to a significantly improved safety profile compared to currently available therapy, without treatment-related deaths even at a very high dose (6 × 10<sup>14</sup> vg/kg). Cardiac and hepatic toxicities observed in the benchmark-treated animals were significantly minimized in EXG001-307-treated groups. These results support the continued clinical development of EXG001-307 as a safer and more effective gene therapy for SMA, with ongoing clinical trials (NCT05614531) expected to confirm its therapeutic potential.","['Song', 'Wang', 'Zhu']",2,7,"gene expression, transgene expression","heart, hepatic, cardiac",22
41162685,A targeted vector for brain endothelial cell gene delivery and cerebrovascular malformation modelling.,Nature biomedical engineering,2025,"Defects in brain endothelial cells (brainECs) can cause severe cerebrovascular malformations, including arteriovenous malformation (AVM) and cerebral cavernous malformation. The lack of appropriate tools for cerebrovascular disease modelling and local genetic manipulation of the brain vasculature hinders research on cerebrovascular malformations. Here we develop a recombinant adeno-associated virus (rAAV) tool termed miniBEND (rAAV-based mini-system for brain endothelial cells, rAAV-miniBEND), which combines a minimal promoter and an optimized cis-acting element isolated from the mouse gene Tek. This system activates gene expression specifically in mouse and rat brainECs. rAAV-miniBEND achieved high-efficiency and high-specificity gene expression in brainECs through intracranial injection at various developmental stages and through intravenous administration at all postnatal stages in mice. Furthermore, we used rAAV-miniBEND to model sporadic cerebral cavernous malformations mediated by MAP3K3<sup>I441M</sup> and AVMs mediated by Braf<sup>V600E</sup>. Somatic expression of Braf<sup>V600E</sup> in brainECs induced an AVM phenotype, revealing that brainEC proliferation is important for AVM development. Thus, our rAAV-miniBEND system provides a widely applicable tool for cerebrovascular disease modelling and local or global brainEC gene delivery.","['Li', 'Bi', 'Chen']",2,7,"gene expression, intravenous administration","liver, brain, cerebral",22
32363345,"Gene Transfer in Rodent Nervous Tissue Following Hindlimb Intramuscular Delivery of Recombinant Adeno-Associated Virus Serotypes AAV2/6, AAV2/8, and AAV2/9.",Neuroscience insights,2019,"Recombinant adeno-associated virus (rAAV) vectors have emerged as the safe vehicles of choice for long-term gene transfer in mammalian nervous system. Recombinant adeno-associated virus-mediated localized gene transfer in adult nervous system following direct inoculation, that is, intracerebral or intrathecal, is well documented. However, recombinant adeno-associated virus delivery in defined neuronal populations in adult animals using less-invasive methods as well as avoiding ectopic gene expression following systemic inoculation remain challenging. Harnessing the capability of some recombinant adeno-associated virus serotypes for retrograde transduction may potentially address such limitations (Note: The term <i>retrograde transduction</i> in this manuscript refers to the uptake of injected recombinant adeno-associated virus particles at nerve terminals, retrograde transport, and subsequent transduction of nerve cell soma). In some studies, recombinant adeno-associated virus serotypes 2/6, 2/8, and 2/9 have been shown to exhibit transduction of connected neuroanatomical tracts in adult animals following lower limb intramuscular recombinant adeno-associated virus delivery in a pattern suggestive of retrograde transduction. However, an extensive side-by-side comparison of these serotypes following intramuscular delivery regarding tissue viral load, and the effect of promoter on transgene expression, has not been performed. Hence, we delivered recombinant adeno-associated virus serotypes 2/6, 2/8, or 2/9 encoding enhanced green fluorescent protein (eGFP), under the control of either cytomegalovirus (CMV) or human synapsin (hSyn) promoter, via a single unilateral hindlimb intramuscular injection in the bicep femoris of adult C57BL/6J mice. Four weeks post injection, we quantified viral load and transgene (enhanced green fluorescent protein) expression in muscle and related nervous tissues. Our data show that the select recombinant adeno-associated virus serotypes transduce sciatic nerve and groups of neurons in the dorsal root ganglia on the injected side, indicating that the intramuscular recombinant adeno-associated virus delivery is useful for achieving gene transfer in local neuroanatomical tracts. We also observed sparse recombinant adeno-associated virus viral delivery or eGFP transduction in lumbar spinal cord and a noticeable lack thereof in brain. Therefore, further improvements in recombinant adeno-associated virus design are warranted to achieve efficient widespread retrograde transduction following intramuscular and possibly other peripheral routes of delivery.","['Jan', 'Richner', 'Vægter']",2,9,"transduction, gene expression, transgene expression","liver, brain, muscle, cerebral, spinal cord",22
30581888,AAV Gene Transfer with Tandem Promoter Design Prevents Anti-transgene Immunity and Provides Persistent Efficacy in Neonate Pompe Mice.,Molecular therapy. Methods & clinical development,2019,"Hepatocyte-restricted, AAV-mediated gene transfer is being used to provide sustained, tolerogenic transgene expression in gene therapy. However, given the episomal status of the AAV genome, this approach cannot be applied to pediatric disorders when hepatocyte proliferation may result in significant loss of therapeutic efficacy over time. In addition, many multi-systemic diseases require widespread expression of the therapeutic transgene that, when provided with ubiquitous or tissue-specific non-hepatic promoters, often results in anti-transgene immunity. Here we have developed tandem promoter monocistronic expression cassettes that, packaged in a single AAV, provide combined hepatic and extra-hepatic tissue-specific transgene expression and prevent anti-transgene immunity. We validated our approach in infantile Pompe disease, a prototype disease caused by lack of the ubiquitous enzyme acid-alpha-glucosidase (GAA), presenting multi-systemic manifestations and detrimental anti-GAA immunity. We showed that the use of efficient tandem promoters prevents immune responses to GAA following systemic AAV gene transfer in immunocompetent Gaa-/- mice. Then we demonstrated that neonatal gene therapy with either AAV8 or AAV9 in Gaa-/- mice resulted in persistent therapeutic efficacy when using a tandem liver-muscle promoter (LiMP) that provided high and persistent transgene expression in non-dividing extra-hepatic tissues. In conclusion, the tandem promoter design overcomes important limitations of AAV-mediated gene transfer and can be beneficial when treating pediatric conditions requiring persistent multi-systemic transgene expression and prevention of anti-transgene immunity.","['Colella', 'Sellier', 'Costa Verdera']",2,9,"gene expression, transgene expression, tissue-specific","liver, muscle, hepatic",22
39617804,AAV delivery strategy with mechanical support for safe and efficacious cardiac gene transfer in swine.,Nature communications,2024,"Adeno-associated virus-based gene therapy is a promising avenue in heart failure treatment, but has shown limited cardiac virus uptake in humans, requiring new approaches for clinical translation. Using a Yorkshire swine ischemic heart failure model, we demonstrate significant improvement in gene uptake with temporary coronary occlusions assisted by mechanical circulatory support. We first show that mechanical support during coronary artery occlusions prevents hemodynamic deterioration (n = 5 female). Subsequent experiments show that coronary artery occlusions during gene delivery improve gene transduction, while adding coronary sinus occlusion (Stop-flow) further improves gene expression up to >1 million-fold relative to conventional intracoronary infusion. Complete survival during and after delivery (n = 10 female, n = 10 male) further indicates safety of the approach. Improved cardiac gene expression correlates with virus uptake without an increase in extra-cardiac expression. Stop-flow delivery of virus-sized gold nanoparticles exhibits enhanced endothelial adherence and uptake, suggesting a mechanism independent of virus biology. Together, utilizing mechanical support for cardiac gene delivery offers a clinically-applicable strategy for heart failure-targeted therapies.","['Mazurek', 'Tharakan', 'Mavropoulos']",2,7,"transduction, gene expression","liver, heart, cardiac",22
41428486,Targeted gene transfer into developmentally defined cell populations of the primate brain.,Cell reports,2026,"The primate brain possesses unique physiological and developmental features, yet its systematic investigation has been hampered by a paucity of transgenic germline models and tools. Here, we present a minimally invasive method to introduce transgenes widely across the primate cerebral cortex using ultrasound-guided fetal intracerebroventricular viral injections (FIVIs). FIVI enables efficient and long-lasting transgene expression following intrauterine delivery of recombinant adeno-associated viruses (rAAVs). In the marmoset, we demonstrate that adjusting gestational timing, rAAV serotype, and transcriptional regulatory elements enables selective targeting of defined cell populations, including layer-restricted labeling and Cre-dependent intersectional access. Pilot experiments in rats further demonstrate the potential of FIVIs for prenatal CRISPR-based gene editing and labeling of peripheral somatosensory and retinal pathways. By mimicking key desirable features of germline transgenic models, this efficient and targeted method for gene transfer into the fetal primate brain expands the experimental opportunities for basic and translational neuroscience research across the lifespan.","['Ribeiro Gomes', 'Hamel', 'Mastwal']",2,7,"gene expression, transgene expression","liver, brain, cerebral, cortex",22
31972133,AAV Vector Immunogenicity in Humans: A Long Journey to Successful Gene Transfer.,Molecular therapy : the journal of the American Society of Gene Therapy,2020,"Gene therapy with adeno-associated virus (AAV) vectors has demonstrated safety and long-term efficacy in a number of trials across target organs, including eye, liver, skeletal muscle, and the central nervous system. Since the initial evidence that AAV vectors can elicit capsid T cell responses in humans, which can affect the duration of transgene expression, much progress has been made in understanding and modulating AAV vector immunogenicity. It is now well established that exposure to wild-type AAV results in priming of the immune system against the virus, with development of both humoral and T cell immunity. Aside from the neutralizing effect of antibodies, the impact of pre-existing immunity to AAV on gene transfer is still poorly understood. Herein, we review data emerging from clinical trials across a broad range of gene therapy applications. Common features of immune responses to AAV can be found, suggesting, for example, that vector immunogenicity is dose-dependent, and that innate immunity plays an important role in the outcome of gene transfer. A range of host-specific factors are also likely to be important, and a comprehensive understanding of the mechanisms driving AAV vector immunogenicity in humans will be key to unlocking the full potential of in vivo gene therapy.","['Costa Verdera', 'Kuranda', 'Mingozzi']",2,7,"gene expression, transgene expression","liver, muscle, skeletal muscle",22
39398225,Precision and efficacy of RNA-guided DNA integration in high-expressing muscle loci.,Molecular therapy. Nucleic acids,2024,"Gene replacement therapies primarily rely on adeno-associated virus (AAV) vectors for transgene expression. However, episomal expression can decline over time due to vector loss or epigenetic silencing. CRISPR-based integration methods offer promise for long-term transgene insertion. While the development of transgene integration methods has made substantial progress, identifying optimal insertion loci remains challenging. Skeletal muscle is a promising tissue for gene replacement owing to low invasiveness of intramuscular injections, relative proportion of body mass, the multinucleated nature of muscle, and the potential for reduced adverse effects. Leveraging endogenous promoters in skeletal muscle, we evaluated two highly expressing loci using homology-independent targeted integration (HITI) to integrate reporter or therapeutic genes in mouse myoblasts and skeletal muscle tissue. We hijacked the muscle creatine kinase (<i>Ckm</i>) and myoglobin (<i>Mb</i>) promoters by co-delivering CRISPR-Cas9 and a donor plasmid with promoterless constructs encoding green fluorescent protein (GFP) or human Factor IX (hFIX). Additionally, we deeply profiled our genome and transcriptome outcomes from targeted integration and evaluated the safety of the proposed sites. This study introduces a proof-of-concept technology for achieving high-level therapeutic gene expression in skeletal muscle, with potential applications in targeted integration-based medicine and synthetic biology.","['Padmaswari', 'Bulliard', 'Agrawal']",2,7,"gene expression, transgene expression","liver, muscle, skeletal muscle",22
41445184,Transgene-induced cardiotoxicity in high-dose AAV gene transfer.,Molecular therapy : the journal of the American Society of Gene Therapy,2025,"Gene delivery technologies based on adeno-associated virus (AAV) vectors have yielded promising results for the treatment of monogenic diseases. Preclinical studies and clinical trials have highlighted that infusing high AAV vector doses can induce cytotoxicity, resulting in the death of the patient in a few cases. In the wake of signs of cardiac symptoms in several human patients after gene transfer, we investigated the effects on the heart of systemic administration of high doses of AAV vectors expressing three different transgenes, corresponding to Duchenne muscular dystrophy, γ-sarcoglycanopathy, and fukutin-related protein deficiency. In all these cases, we observed the possibility of cardiotoxicity with high-dose injections that we related to transgene expression. Consequently, strategies reducing or preventing expression in the heart prevented the appearance of such cardiotoxicity and were also confirmed to be safe in non-human primates. Dissection of the mechanisms at stake revealed activation of stress cascades, leading to cardiomyocyte death due to protein overload or abnormal homeostasis of location or function of the specific protein. Our data highlighted a particular sensitivity of the heart to transgene expression, suggesting the importance of finely regulating the expression of transgenes in this vital organ in any gene therapy approach.","['Biquand', 'Gicquel', 'Poupiot']",2,7,"gene expression, transgene expression","liver, heart, cardiac",22
41411128,Muscle satellite cell editing by LNP-CRISPR-Cas9 to resist muscle injury.,Cell reports,2026,"Muscle satellite cells are essential for skeletal muscle regeneration and represent an attractive therapeutic target for gene delivery in Duchenne muscular dystrophy (DMD). However, efficient in vivo transduction of these cells has remained challenging. Here, we demonstrate that lipid nanoparticle (LNP)-mediated delivery of Streptococcus pyogenes CRISPR-Cas9 mRNA and guide RNA (LNP-CRISPR) induces exon skipping in Pax7-positive satellite cells more efficiently than adeno-associated virus (AAV) vectors following intramuscular or intravenous administration in a DMD mouse model. Furthermore, unlike AAV-CRISPR, LNP-CRISPR-mediated genome editing showed greater resistance to repeated muscle injuries, indicating successful editing of regenerative satellite cells. These results highlight the potential of LNPs as a non-viral platform for durable genome editing in skeletal muscle and lay the foundation for developing safe and sustainable genome-editing therapies for DMD.","['Mochida', 'Fujimoto', 'Asahina']",2,7,"transduction, intravenous administration","liver, muscle, skeletal muscle",22
32355866,Intra-CSF AAV9 and AAVrh10 Administration in Nonhuman Primates: Promising Routes and Vectors for Which Neurological Diseases?,Molecular therapy. Methods & clinical development,2020,"The identification of the most efficient method for whole central nervous system targeting that is translatable to humans and the safest route of adeno-associated virus (AAV) administration is a major concern for future applications in clinics. Additionally, as many AAV serotypes were identified for gene introduction into the brain and the spinal cord, another key to human gene-therapy success is to determine the most efficient serotype. In this study, we compared lumbar intrathecal administration through catheter implantation and intracerebroventricular administration in the cynomolgus macaque. We also evaluated and compared two AAV serotypes that are currently used in clinical trials: AAV9 and AAVrh10. We demonstrated that AAV9 lumbar intrathecal delivery using a catheter achieved consistent transgene expression in the motor neurons of the spinal cord and in the neurons/glial cells of several brain regions, whereas AAV9 intracerebroventricular delivery led to a consistent transgene expression in the brain. In contrast, AAVrh10 lumbar intrathecal delivery led to rare motor neuron targeting. Finally, we found that AAV9 efficiently targets respiratory and skeletal muscles after injection into the cerebrospinal fluid (CSF), which represents an outstanding new property that can be useful for the treatment of diseases affecting both the central nervous system and muscle.","['Bey', 'Deniaud', 'Dubreil']",2,7,"gene expression, transgene expression","liver, brain, muscle, skeletal muscle, spinal cord",22
38970421,Have a Little Heart (or Not): Highly Minimized Skeletal Muscle Regulatory Cassettes with Low or No Activity in the Heart.,Human gene therapy,2024,"Adeno-associated virus-mediated gene therapies for certain muscle disorders require regulatory cassettes that provide high-level, striated muscle-specific activity. However, cardiotoxicity has emerged as a serious concern in clinical trials for Duchenne muscular dystrophy and X-linked myotubular myopathy. While this may be caused by systemic inflammatory effects of the treatment, high transgene expression in the heart may also play a role. Thus, certain muscle disorders may require a modulated level of therapeutic expression in the heart, while others may not require any cardiac expression at all. Additionally, the size of some cargos requires regulatory cassettes to be small enough that large cDNAs and other therapeutic payloads can be accommodated. Thus, we have performed enhancer/promoter optimization to develop highly minimized regulatory cassettes that are active in skeletal muscles, with either low or no detectable activity in cardiac muscle. Our No-heart (NH) cassette is active in most skeletal muscles, but exhibits only very low activity in extensor digitorum longus (EDL), soleus, and diaphragm, and no activity in the heart. By contrast, our Have a Little Heart (HLH) cassette displays high activity in most skeletal muscles, comparable to the ∼800-bp CK8 cassette, with increased activity in EDL, soleus, and diaphragm, and low activity in the heart. Due to their small size, these cassettes can be used in therapeutic strategies with both flexible (<i>e.g.,</i> antisense) and stringent (<i>e.g.,</i> CRISPR/Cas or bicistronic) size limitations. Thus, our new cassettes may be useful for gene therapies of muscle disorders in which the need for low or almost no expression in cardiac muscle would outweigh the need for high levels of therapeutic product in certain skeletal muscles.","['Himeda', 'Jones', 'Jones']",2,7,"gene expression, transgene expression","muscle, heart, cardiac, skeletal muscle",22
41108077,Biological pacemaker induced by focal cardiac transduction with AAV-TBX18.,Molecular therapy : the journal of the American Society of Gene Therapy,2026,"When injected into the heart, adenovirally packaged T-box transcription factor 18 (TBX18) induces biological pacemaker activity, but immunological clearance of transduced cells limits efficacy. Here, we investigated whether expressing TBX18 in the less inflammatory adeno-associated virus (AAV-TBX18) represents a viable alternative. Focal injection of AAV-TBX18 (but not a control AAV expressing green fluorescent protein [AAV-GFP]) in the left ventricle of rats altered local gene expression to resemble that of the sinoatrial node and unleashed automaticity originating at the site of injection. AAV-TBX18-induced pacemakers exhibited autonomic responsiveness, while increasing maximal exercise tolerance. Likewise, catheter-based delivery of AAV-TBX18 (but not AAV-GFP) into the His bundle region in pigs increased heart rate in a clinically relevant porcine model of complete atrioventricular block. The heart rate remained significantly higher in AAV-TBX18 animals than in AAV-GFP controls for at least 6 weeks in rats and 4 weeks in pigs. Thus, targeted intramyocardial injection of AAV-TBX18 induces durable, physiologically responsive chronotropic support in both rats and pigs with complete heart block.","['Miguel-Dos-Santos', 'Dawkins', 'Mesquita']",2,7,"transduction, gene expression","liver, heart, cardiac",22
29175157,Mapping the Structural Determinants Required for AAVrh.10 Transport across the Blood-Brain Barrier.,Molecular therapy : the journal of the American Society of Gene Therapy,2018,"Effective gene delivery to the CNS by intravenously administered adeno-associated virus (AAV) vectors requires crossing the blood-brain barrier (BBB). To achieve therapeutic CNS transgene expression, high systemic vector doses are often required, which poses challenges such as scale-up costs and dose-dependent hepatotoxicity. To improve the specificity and efficiency of CNS gene transfer, a better understanding of the structural features that enable AAV transit across the BBB is needed. We generated a combinatorial domain swap library using AAV1, a serotype that does not traverse the vasculature, and AAVrh.10, which crosses the BBB in mice. We then screened individual variants by phylogenetic and structural analyses and subsequently conducted systemic characterization in mice. Using this approach, we identified key clusters of residues on the AAVrh.10 capsid that enabled transport across the brain vasculature and widespread neuronal transduction in mice. Through rational design, we mapped a minimal footprint from AAVrh.10, which, when grafted onto AAV1, confers the aforementioned CNS phenotype while diminishing vascular and hepatic transduction through an unknown mechanism. Functional mapping of this capsid surface footprint provides a roadmap for engineering synthetic AAV capsids for efficient CNS gene transfer with an improved safety profile.","['Albright', 'Storey', 'Murlidharan']",2,9,"transduction, gene expression, transgene expression","liver, brain, hepatic",22
35252470,<i>In vivo</i> overexpression of frataxin causes toxicity mediated by iron-sulfur cluster deficiency.,Molecular therapy. Methods & clinical development,2022,"Friedreich's ataxia is a rare disorder resulting from deficiency of frataxin, a mitochondrial protein implicated in the synthesis of iron-sulfur clusters. Preclinical studies in mice have shown that gene therapy is a promising approach to treat individuals with Friedreich's ataxia. However, a recent report provided evidence that AAVrh10-mediated overexpression of frataxin could lead to cardiotoxicity associated with mitochondrial dysfunction. While evaluating an AAV9-based frataxin gene therapy using a chicken β-actin promoter, we showed that toxic overexpression of frataxin could be reached in mouse liver and heart with doses between 1 × 10<sup>13</sup> and 1 × 10<sup>14</sup> vg/kg. In a mouse model of cardiac disease, these doses only corrected cardiac dysfunction partially and transiently and led to adverse findings associated with iron-sulfur cluster deficiency in liver. We demonstrated that toxicity required frataxin's primary function by using a frataxin construct bearing the N146K mutation, which impairs binding to the iron-sulfur cluster core complex. At the lowest tested dose, we observed moderate liver toxicity that was accompanied by progressive loss of transgene expression and liver regeneration. Together, our data provide insights into the toxicity of frataxin overexpression that should be considered in the development of a gene therapy approach for Friedreich's ataxia.","['Huichalaf', 'Perfitt', 'Kuperman']",2,7,"gene expression, transgene expression","liver, heart, cardiac",22
39850991,Directed Evolution of AAV9 for Efficient Gene Expression in Cardiomyocytes <i>In Vitro</i> and <i>In Vivo</i>.,Human gene therapy,2025,"Adeno-associated viral (AAV) vectors are increasingly used for preclinical and clinical cardiac gene therapy approaches. However, gene transfer to cardiomyocytes poses a challenge due to differences between AAV serotypes in terms of expression efficiency <i>in vitro</i> and <i>in vivo</i>. For example, AAV9 vectors work well in rodent heart muscle cells <i>in vivo</i> but not in cultivated neonatal rat ventricular cardiomyocytes (NRVCMs), necessitating the use of AAV6 vectors for <i>in vitro</i> studies. Therefore, we aimed to develop an AAV that could efficiently express genes in NRVCMs, human engineered heart tissue (hEHT), and mammalian hearts. The production of AAV6 vectors results in lower yields compared with AAV9. Hence, we used random AAV9 peptide libraries and selected variants on NRVCMs at the vector genome and RNA levels in parallel. The enriched library variants were characterized using high-throughput analysis of barcoded variants, followed by individual validation of the most promising candidates. Interestingly, we found striking differences in NRVCM transduction and gene expression patterns of the AAV capsid variants depending on the selection strategy. AAV variants selected based on the vector genome level enabled the highest transduction but were outperformed by AAVs selected on the RNA level in terms of expression efficiency. In addition, we identified a new AAV9 capsid variant that not only allowed significantly higher gene expression in NRVCMs compared with AAV6 but also enabled similar gene expression in murine hearts as AAV9 wild-type vectors after being intravenously injected into mice. Moreover, the novel variant facilitated significantly higher gene expression in hEHT compared with AAV9. Therefore, this AAV variant could streamline preclinical gene therapy studies of myocardial diseases by eliminating the need for using different AAVs for NRVCMs, hEHT, and mice.","['Hüttermann', 'Schröder', 'Shetty']",2,7,"transduction, gene expression","muscle, heart, cardiac",22
40104151,Immune-driven gene expression loss following intramuscular AAV delivery to non-human primates is only transient.,Molecular therapy. Methods & clinical development,2025,"Recombinant adeno-associated virus (rAAV) vectors stand out as highly promising for <i>in vivo</i> gene transfer, particularly in targeting the skeletal muscle for treating muscular genetic diseases or secreting therapeutic factors. Despite the simplicity and efficacy of the established intramuscular (IM) route, it has been often associated with an immune-induced rapid loss of transgene expression, in particular in large animal models, and generally considered irreversible as a consequence of a cytotoxic elimination of transduced cells. Here, we report in a non-human primate model that transgene expression loss after IM delivery of an rAAV1 expressing an immunogenic protein is only transient, with the re-expression of the transgene lasting up to 5 years post-injection. We show that the recovery of transgene expression is due to persisting viral genomes in the injected muscles despite the detection of peripheral anti-transgene cellular immunity. Persisting genomes were observed in the presence of infiltrated mononuclear CD8 and CD4 T lymphocytes, among which we were able to detect FoxP3<sup>+</sup> regulatory cells. This is to our knowledge the first report of a transient immune-mediated loss of gene expression in a large animal model after rAAV delivery that should shed new light on the issue of rAAV vector immunogenicity.","['Journou', 'Devaux', 'Jaulin']",2,7,"gene expression, transgene expression","liver, muscle, skeletal muscle",22
31660418,A Muscle Hybrid Promoter as a Novel Tool for Gene Therapy.,Molecular therapy. Methods & clinical development,2019,"Gene therapy is a promising strategy to cure rare diseases. The lack of regulatory sequences ensuring specific and robust expression in skeletal and cardiac muscle is a substantial limitation of gene therapy efficiency targeting the muscle tissue. Here we describe a novel muscle hybrid (MH) promoter that is highly active in both skeletal and cardiac muscle cells. It has an easily exchangeable modular structure, including an intronic module that highly enhances the expression of the gene driven by it. In cultured myoblasts, myotubes, and cardiomyocytes, the MH promoter gives relatively stable expression as well as higher activity and protein levels than the standard CMV and desmin gene promoters or the previously developed synthetic or <i>CKM</i>-based promoters. Combined with AAV2/9, the MH promoter also provides a high <i>in vivo</i> expression level in skeletal muscle and the heart after both intramuscular and systemic delivery. It is much more efficient than the desmin-encoding gene promoter, and it maintains the same specificity. This novel promoter has potential for gene therapy in muscle cells. It can provide stable transgene expression, ensuring high levels of therapeutic protein, and limited side effects because of its specificity. This constitutes an improvement in the efficiency of genetic disease therapy.","['Piekarowicz', 'Bertrand', 'Azibani']",2,9,"gene expression, transgene expression, systemic delivery","liver, muscle, heart, cardiac, skeletal muscle",22
41122489,Developing a minimally invasive gene therapy for multiple sclerosis.,Molecular therapy. Methods & clinical development,2025,"Multiple sclerosis (MS) is a neurological disease characterized by demyelinating lesions in the CNS. This study investigated whether a minimally invasive adeno-associated virus (AAV) vector (AAV.PHP.eB) can direct transgene expression in CNS cell types relevant to MS, including astrocytes, oligodendrocytes, oligodendrocyte precursor cells (OPCs), microglia, and neurons in experimental autoimmune encephalitis, a widely used MS model. <i>In vivo</i> bioluminescence imaging and histological analysis following AAV.PHP.eB-mediated gene delivery in healthy mice using the ubiquitous CAG promoter and five neural promoters (MBP, Sox10, hSyn1, gfa2, and gfaABC1D) revealed long-term, robust, and cell-type-specific activity across the brain and spinal cord. AAV.PHP.eB is capable of traversing the blood-brain barrier in experimental autoimmune encephalitis (EAE) and directs sustained and cell-type-specific transgene expression for the MBP, Sox10, hSyn1, and gfaABC1D promoters. The MBP and Sox10 promoters directed transgene expression in oligodendroglia around and within inflammatory demyelinating lesions, whereas the gfaABC1D promoter directs transgene expression in gray and white matter astrocytes and hSyn1 in neurons. The neural promoters were minimally active in the periphery, with the exception of gfa2. This methodological study is a first step toward the development of minimally invasive gene therapy to promote myelin repair and/or suppress inflammation in MS.","['Nijhuis', 'Romijn', 'Honing']",2,7,"gene expression, transgene expression","liver, brain, neural, spinal cord",22
33498212,Intrastriatal Administration of AAV5-miHTT in Non-Human Primates and Rats Is Well Tolerated and Results in miHTT Transgene Expression in Key Areas of Huntington Disease Pathology.,Brain sciences,2021,"Huntington disease (HD) is a fatal, neurodegenerative genetic disorder with aggregation of mutant Huntingtin protein (mutHTT) in the brain as a key pathological mechanism. There are currently no disease modifying therapies for HD; however, <i>HTT</i>-lowering therapies hold promise. Recombinant adeno-associated virus serotype 5 expressing a microRNA that targets <i>HTT</i> mRNA (AAV5-miHTT) is in development for the treatment of HD with promising results in rodent and minipig HD models. To support a clinical trial, toxicity studies were performed in non-human primates (NHP, <i>Macaca fascicularis</i>) and Sprague-Dawley rats to evaluate the safety of AAV5-miHTT, the neurosurgical administration procedure, vector delivery and expression of the mi<i>HTT</i> transgene during a 6-month observation period. For accurate delivery of AAV5-miHTT to the striatum, real-time magnetic resonance imaging (MRI) with convection-enhanced delivery (CED) was used in NHP. Catheters were successfully implanted in 24 NHP, without neurological symptoms, and resulted in tracer signal in the target areas. Widespread vector DNA and mi<i>HTT</i> transgene distribution in the brain was found, particularly in areas associated with HD pathology. Intrastriatal administration of AAV5-miHTT was well tolerated with no clinically relevant changes in either species. These studies demonstrate the excellent safety profile of AAV5-miHTT, the reproducibility and tolerability of intrastriatal administration, and the delivery of AAV5-miHTT to the brain, which support the transition of AAV5-miHTT into clinical studies.","['Spronck', 'Vallès', 'Lampen']",2,7,"gene expression, transgene expression","liver, brain, striatum",22
40744011,AAV vectors for specific and efficient gene expression in microglia.,Cell reports methods,2025,"Microglia are crucial targets for therapeutic interventions in diseases like Alzheimer's and stroke, but efficient gene delivery to these immune cells is challenging. We developed an adeno-associated virus (AAV) vector that achieves specific and efficient gene delivery to microglia. This vector incorporates the mIba1 promoter, GFP, miRNA target sequences (miR.Ts), WPRE, and poly(A) signal. Positioning miR.Ts on both sides of WPRE significantly suppressed non-microglial expression, achieving over 90% specificity and more than 60% efficiency in microglia-specific gene expression 3 weeks post-administration. Additionally, this vector enabled GCaMP expression, facilitating real-time calcium dynamics monitoring in microglial processes. Using a blood-brain barrier-penetrant AAV-9P31 capsid variant, intravenous administration resulted in broad and selective microglial GFP expression across the brain. These results establish our AAV vector as a versatile tool for long-term, highly specific, and efficient gene expression in microglia, advancing microglial research and potential therapeutic applications.","['Aoki', 'Konno', 'Hosoi']",2,6,"gene expression, intravenous administration","liver, brain",21
19474806,Systemic delivery of AAV8 in utero results in gene expression in diaphragm and limb muscle: treatment implications for muscle disorders.,Gene therapy,2009,"One of the major challenges in the treatment of primary muscle disorders, which often affect many muscle groups, is achieving efficient, widespread transgene expression in muscle. In utero gene transfer can potentially address this problem by accomplishing the gene delivery when the tissue mass is small and the immune system is immature. Earlier studies with systemic in utero adeno-associated viral (AAV) vector serotype 1 gene delivery to embryonic day 16 (E-16) pups resulted in high levels of transduction in diaphragm and intercostal muscles, but no detectable transgene expression in limb muscles. Recently, newer AAV serotypes, such as AAV8, have shown widespread and high transgene expression in skeletal muscles and diaphragm by systemic delivery in adult and neonatal mice. We tested AAV8 vector gene delivery by intraperitoneal administration in E-16 mice in utero. Using an AAV8 vector carrying a lacZ reporter gene, we observed high-level transduction of diaphragm and intercostal muscles and more moderate transduction of multiple limb muscles and heart. Our current studies show the potential of AAV8 to achieve widespread muscle transduction in utero and suggest its therapeutic potential for primary muscle disorders.","['Koppanati', 'Li', 'Xiao']",2,11,"transduction, gene expression, transgene expression, systemic delivery","liver, muscle, heart, skeletal muscle",21
