Data_extracted,pmid,title,journal,year,abstract,authors,tier,relevance_score,matched_keywords,tissues_mentioned,priority_score,Notes
,41155416,Navigating the Hurdles of Intra-Articular AAV Gene Therapy.,International journal of molecular sciences,2025,"Joint diseases represent a significant health burden due to their high prevalence and morbidity, yet current treatments fail to provide comprehensive and long-term relief for all patients. In this context, adeno-associated virus (AAV) gene therapy has emerged as a promising approach, offering advantages such as prolonged efficacy and minimal immunogenicity. AAV has been extensively studied for various medical conditions, with some applications successfully implemented in patient treatments. Currently, a few clinical trials utilizing AAV have been completed for treating arthritis. However, challenges such as transduction efficiency, off-targets, and preexisting immune responses persist. This review provides an overview of the current paradigms of treatment with regard to joint diseases, elaborates on the AAV delivery barriers related to application in treating joint diseases, and discusses strategies to improve gene therapy efficacy, including AAV capsid engineering, small molecule-assisted AAV delivery, optimizing tissue-specific or inflammation-inducible promoters, as well as strategies to mitigate immune responses to AAV.","['Li', 'Thornton', 'Feng']",1,10,"transduction efficiency, transduction, tissue-specific",liver,25,
,40349107,Neuron-targeted gene therapy rescues multiple phenotypes of STXBP1-related disorders in mice and is well tolerated in nonhuman primates.,Molecular therapy : the journal of the American Society of Gene Therapy,2025,"De novo heterozygous variants in the neuronal STXBP1 gene cause severe, early-onset developmental and epileptic encephalopathy. Adeno-associated virus (AAV)-based gene replacement therapy offers the potential for a one-time, disease-modifying approach for STXBP1-related disorders. However, off-target overexpression in the liver and in the dorsal root ganglion (DRG) are known potential toxicities of AAV vectors. In addition, while loss of STXBP1 in GABAergic interneurons contributes to disease pathogenesis, typical gene therapy promoters do not express well in these cell populations. We engineered novel promoter cassettes to drive potent, selective STXBP1 expression across both excitatory and inhibitory neurons, and a 3' UTR regulatory element to detarget expression in DRG. Bilateral intracerebroventricular (ICV) injection of these promoter candidates achieved robust neuronal expression of STXBP1 and rescued key behavioral phenotypes in Stxbp1<sup>+/-</sup> haploinsufficient mice. In nonhuman primates, widespread vector biodistribution and transgene expression were observed in the central nervous system after unilateral ICV administration of AAV9-STXBP1 vectors. The vectors were well tolerated, and addition of the detargeting regulatory element significantly reduced expression in DRG, while ameliorating histopathologic effects and functional nerve conduction alterations. Taken together, these data support the feasibility of a one-time AAV-based therapeutic approach for STXBP1-related disorders.","['Aeran', 'Tanenhaus', 'Sears']",1,10,"biodistribution, gene expression, transgene expression",liver,25,
,34407999,Improved systemic AAV gene therapy with a neurotrophic capsid in Niemann-Pick disease type C1 mice.,Life science alliance,2021,"Niemann-Pick C1 disease (NPC1) is a rare, fatal neurodegenerative disease caused by mutations in <i>NPC1</i>, which encodes the lysosomal cholesterol transport protein NPC1. Disease pathology involves lysosomal accumulation of cholesterol and lipids, leading to neurological and visceral complications. Targeting the central nervous system (CNS) from systemic circulation complicates treatment of neurological diseases with gene transfer techniques. Selected and engineered capsids, for example, adeno-associated virus (AAV)-PHP.B facilitate peripheral-to-CNS transfer and hence greater CNS transduction than parental predecessors. We report that systemic delivery to <i>Npc1</i> <sup><i>m1N/m1N</i></sup> mice using an AAV-PHP.B vector ubiquitously expressing <i>NPC1</i> led to greater disease amelioration than an otherwise identical AAV9 vector. In addition, viral copy number and biodistribution of GFP-expressing reporters showed that AAV-PHP.B achieved more efficient, albeit variable, CNS transduction than AAV9 in <i>Npc1</i> <sup><i>m1N/m1N</i></sup> mice. This variability was associated with segregation of two alleles of the putative AAV-PHP.B receptor <i>Ly6a</i> in <i>Npc1</i> <sup><i>m1N/m1N</i></sup> mice. Our data suggest that robust improvements in NPC1 disease phenotypes occur even with modest CNS transduction and that improved neurotrophic capsids have the potential for superior NPC1 AAV gene therapy vectors.","['Davidson', 'Gibson', 'Gu']",1,10,"biodistribution, transduction, systemic delivery",liver,25,
,22110082,"Transduction, tropism, and biodistribution of AAV vectors in the lacrimal gland.",Investigative ophthalmology & visual science,2011,"The lacrimal gland (LG) delivers defensive and metabolic factors to the ocular surface. These functions may be disrupted in several diseases, and for most of them there is no cure. The aim of this study is to investigate conditions and limitations for using adeno-associated virus (AAV) vectors as gene transfer agents to LG. Eight-week-old Balb/c mice were used to investigate route, gene expression, and time course of AAV gene vector transfer to LG. AAV vectors encoding firefly luciferase were administered to the LG and luciferase expression was evaluated in vivo by immunohistochemistry. Ocular surface and neutralizing antibodies were also evaluated. The present work revealed that AAV vectors are able to delivery DNA to the LGs of mice. Direct injection had the highest level of transduction, and topical ocular drops the lowest. Overall, the AAV strain with highest transduction activity as measured by both luminescence and immunohistochemistry was AAV9, followed by AAV 5w8 and AAV5. Transduction was not different between sexes, could be detected as soon as 24 hours after injection, and lasted for at least 30 days (study termination). No tissue damage was observed when compared with controls. All vectors with detectable LG transduction induced neutralizing antibodies. LG gene delivery by AAV vectors appears to be both safe and well tolerated. The choice of vector influences both the overall transduction activity, as well as the spread of vector to other organs. This work supports the use of AAV-mediated gene therapy for dry eye.","['Rocha', 'Di Pasquale', 'Riveros']",1,15,"tropism, biodistribution, transduction, gene expression",liver,25,
,40682271,AAV-delivered PPT1 provides long-term neurological benefits in CLN1 mice and achieves therapeutic levels in sheep brain.,Molecular therapy : the journal of the American Society of Gene Therapy,2025,"CLN1 disease is a fatal neurodegenerative condition caused by deficiency in palmitoyl-protein thioesterase 1 (PPT1), for which no disease-modifying therapy exists. The disease affects the entire central nervous system (CNS), necessitating widespread delivery of therapeutics to the brain and spinal cord. Adeno-associated virus (AAV)-based PPT1 gene therapy delivered intrathecally has been tested in mouse models but has shown limited efficacy due to inadequate brain bioavailability. Here, to maximize therapeutic benefit, PPT1 was engineered for improved cross-correction capabilities, packaged in Spark100, a neurotropic AAV capsid, and administered through intracerebroventricular route in neonatal Ppt1<sup>-/-</sup> mice. This achieved sustained expression of PPT1 protein across the CNS, including key disease-relevant structures, for up to 15 months. It resulted in long-term therapeutic benefits, such as extended lifespan, preserved neurobehavioral function, and prevention of neuropathology, making treated Ppt1<sup>-/-</sup> mice nearly indistinguishable from wild type. A translatability study in healthy adult sheep, assessing biodistribution of therapeutic in a large and fully developed brain, showed widespread CNS transduction and PPT1 expression with no adverse effects. These studies demonstrate the potential of this approach for treating CLN1 disease and suggest that a similar platform, using a secreted therapeutic protein, might apply to other neurological disorders with broad CNS deficits.","['Alam', 'Khatiwada', 'Eaton']",1,10,"biodistribution, transduction","liver, brain, spinal cord",25,
,39398244,Development of an adipose-tropic AAV capsid ablating liver tropism.,iScience,2024,"AAV vectors are mainstream delivery platforms in gene therapy, yet AAV-mediated gene transfer to adipose tissue is underdeveloped due to low efficiency of natural AAVs. We previously demonstrated that an engineered capsid Rec2 displayed improved adipo-tropism but with the caveat of liver transduction. To generate highly adipo-tropic capsid, we modified Rec2 capsid by site-specific mutagenesis and found the variant V7 with F503Y, Y708D and K709I substitution to harbor highly selective adipo-tropism while diminishing liver transduction. Intraperitoneal injection favored transduction to visceral fat while intravenous administration favored subcutaneous fat. Intraperitoneal administration of V7 vector harboring human leptin and adiponectin as single transcript normalized the metabolic dysfunction of <i>ob/ob</i> mice at a low dose. Moreover, introducing the same mutagenesis to AAV8 capsid diminished liver transduction suggesting F503, Y708 and K709 critical for liver transduction. The Rec2.V7 vector may provide a powerful tool for basic research and potent vehicle for adipose-targeting gene therapy.","['Huang', 'Bates', 'Appana']",1,10,"tropism, transduction, intravenous administration",liver,25,
,40356311,Halting Recombinant Adeno-Associated Virus Transgene Expression Using mRNA-Lipid Nanoparticle-Delivered Meganucleases.,Human gene therapy,2025,"Recombinant adeno-associated virus (rAAV) vectors are increasingly preferred for <i>in vivo</i> gene therapy due to their broad tropism, low immunogenicity, and sustained transgene expression. Nevertheless, in cases of adverse reactions to these expressions, a method to suppress or permanently halt rAAV transgene activity could significantly enhance the safety of these vectors. To address this need, we employed meganucleases-highly specific DNA endonucleases with long recognition sequences. By placing meganuclease target sites within rAAV transgenes, we created a system in which targeted cleavage leads to controlled disruption of transgene expression. Utilizing a luciferase assay, we screened various meganucleases and identified I-AniI-Y2, I-BmoI, and I-PpoI as prime candidates due to their high cleavage efficiencies. By strategically placing multiple meganuclease target sequences within introns, as well as in the 5' and 3' untranslated regions (UTRs) of transgenes, we significantly enhanced the cleavage efficiency of these meganucleases, ensuring robust and targeted suppression of transgene expression. Finally, we employed an mRNA-loaded lipid nanoparticledelivery system to demonstrate the ability of meganucleases to robustly inhibit rAAV-mediated transgene expression <i>in vitro</i>. Our findings underscore the potential of meganucleases as a viable safety mechanism in rAAV gene therapies, marking a significant advance toward safer long-term gene therapy approaches.","['Tavora', 'Zhang', 'Tran']",1,10,"tropism, gene expression, transgene expression",liver,25,
,37597209,Preclinical Development and Characterization of Novel Adeno-Associated Viral Vectors for the Treatment of Lipoprotein Lipase Deficiency.,Human gene therapy,2023,"Lipoprotein lipase deficiency (LPLD) results from mutations within the <i>lipoprotein lipase (LPL)</i> gene that lead to a complete lack of catalytically active LPL protein. Glybera was one of the first adeno-associated virus (AAV) gene replacement therapy to receive European Medicines Agency regulatory approval for the treatment of LPLD. However, Glybera is no longer marketed potentially due to a combination of economical, manufacturing, and vector-related issues. The aim of this study was to develop a more efficacious AAV gene therapy vector for LPLD. Following preclinical biodistribution, efficacy and non-Good Laboratory Practice toxicity studies with novel AAV1 and AAV8-based vectors in mice, we identified AAV8 pVR59. AAV8 pVR59 delivered a codon-optimized, human gain-of-function hLPL<sup>S447X</sup> transgene driven by a CAG promoter in an AAV8 capsid. AAV8 pVR59 was significantly more efficacious, at 10- to 100-fold lower doses, compared with an AAV1 vector based on Glybera, when delivered intramuscularly or intravenously, respectively, in mice with LPLD. Efficient gene transfer was observed within the injected skeletal muscle and liver following delivery of AAV8 pVR59, with long-term correction of LPLD phenotypes, including normalization of plasma triglycerides and lipid tolerance, for up to 6 months post-treatment. While intramuscular delivery of AAV8 pVR59 was well tolerated, intravenous administration augmented liver pathology. These results highlight the feasibility of developing a superior AAV vector for the treatment of LPLD and provide critical insight for initiating studies in larger animal models. The identification of an AAV gene therapy vector that is more efficacious at lower doses, when paired with recent advances in production and manufacturing technologies, will ultimately translate to increased safety and accessibility for patients.","['Mehta', 'Gilbert', 'Chahal']",1,10,"biodistribution, intravenous administration","liver, muscle, skeletal muscle",25,
,39469420,Identification of a novel neutralization epitope in rhesus AAVs.,Molecular therapy. Methods & clinical development,2024,"Adeno-associated viruses (AAVs) are popular gene therapy delivery vectors, but their application can be limited by anti-vector immunity. Both preexisting neutralizing antibodies (NAbs) and post-administration NAbs can limit transgene expression and reduce the clinical utility of AAVs. The development of novel AAVs will advance our understanding of AAV immunity and may also have practical applications. In this study, we identified five novel AAV capsids from rhesus macaques. RhAAV4282 exhibited 91.4% capsid sequence similarity with AAV7 and showed similar tissue tropism with slightly diminished overall signal. Despite this sequence homology, RhAAV4282 and AAV7 showed limited cross-neutralization. We determined a cryo-EM structure of the RhAAV4282 capsid at 2.57 Å resolution and identified a small segment within the hypervariable region IV, involving seven amino acids that formed a shortened external loop in RhAAV4282 compared with AAV7. We generated RhAAV4282 and AAV7 mutants that involved swaps of this region and showed that this region partially determined neutralization phenotype. We termed this region the hypervariable region IV neutralizing epitope (HRNE). Our data suggests that modification of the HRNE can lead to AAVs with altered neutralization profiles.","['Dagotto', 'Fisher', 'Li']",1,10,"tropism, gene expression, transgene expression",liver,25,
,37758947,Spatial atlas of the mouse central nervous system at molecular resolution.,Nature,2023,"Spatially charting molecular cell types at single-cell resolution across the 3D volume is critical for illustrating the molecular basis of brain anatomy and functions. Single-cell RNA sequencing has profiled molecular cell types in the mouse brain<sup>1,2</sup>, but cannot capture their spatial organization. Here we used an in situ sequencing method, STARmap PLUS<sup>3,4</sup>, to profile 1,022 genes in 3D at a voxel size of 194 × 194 × 345 nm<sup>3</sup>, mapping 1.09 million high-quality cells across the adult mouse brain and spinal cord. We developed computational pipelines to segment, cluster and annotate 230 molecular cell types by single-cell gene expression and 106 molecular tissue regions by spatial niche gene expression. Joint analysis of molecular cell types and molecular tissue regions enabled a systematic molecular spatial cell-type nomenclature and identification of tissue architectures that were undefined in established brain anatomy. To create a transcriptome-wide spatial atlas, we integrated STARmap PLUS measurements with a published single-cell RNA-sequencing atlas<sup>1</sup>, imputing single-cell expression profiles of 11,844 genes. Finally, we delineated viral tropisms of a brain-wide transgene delivery tool, AAV-PHP.eB<sup>5,6</sup>. Together, this annotated dataset provides a single-cell resource that integrates the molecular spatial atlas, brain anatomy and the accessibility to genetic manipulation of the mammalian central nervous system.","['Shi', 'He', 'Zhou']",1,10,"tropism, gene expression","liver, brain, spinal cord",25,
,40903903,Development of an AAV-delivered microRNA gene therapy for myotonic dystrophy type 1.,Molecular therapy : the journal of the American Society of Gene Therapy,2025,"Myotonic dystrophy type 1 (DM1), characterized by life-threatening muscle weakness, compromised respiration, and, often, cardiac conduction abnormalities, is the most common form of adult muscular dystrophy. DM1 is caused by a CTG repeat expansion in the 3' untranslated region of the dystrophia myotonica protein kinase (DMPK) gene, resulting in aggregation of DMPK mRNA into insoluble ribonuclear foci that sequester RNA-binding proteins. Redistribution of essential splicing factors causes mis-splicing of factors responsible for muscle differentiation. Targeting the disease at its root by reducing DMPK RNA promises to reduce RNA foci and pathogenesis. Here, we present an adeno-associated virus (AAV)-RNAi-based strategy for DMPK reduction based on a muscle-targeted platform comprising an AAV capsid with high muscle transduction efficiency, a promoter with strong activity in muscle, and a DMPK-targeting artificial miRNA. In cellular and animal models of DM1, we show that AAV delivery of an artificial miRNA targeting DMPK reduces DMPK RNA levels and improves molecular, pathological, and clinically relevant disease hallmarks. In non-human primates, we show AAV-amiR<sup>DMPK</sup>/SAR446268 treatment is well tolerated and results in a dose-dependent downregulation of DMPK mRNA (up to 90%) in all major muscle groups. Our data provide evidence of the efficacy and safety of SAR446268.","['Tomassy', 'Fan', 'Cao']",1,10,"transduction efficiency, transduction","liver, muscle, cardiac",25,
,19616080,"Transduction efficiency of AAV 2/6, 2/8 and 2/9 vectors for delivering genes in human corneal fibroblasts.",Brain research bulletin,2010,"In the present study, cellular tropism and relative transduction efficiency of AAV2/6, AAV2/8 and AAV2/9 vectors have been tested for the cornea using primary cultures of human corneal fibroblasts. The AAV6, AAV8 and AAV9 serotypes having AAV2 ITR plasmid encoding for alkaline phosphatase (AP) gene were generated by transfecting HEK293 cell line with pHelper, pARAP4 and pRep/Cap plasmids. Primary cultures of human corneal fibroblasts were exposed to AAV infectious particles at two different doses (1 x 10(5) and 2 x 10(5) MOI). Cytochemistry and enzyme assays were used to measure delivered transgene expression in samples collected at 4 and 30 h after AAV infection by counting AP-stained cells or quantifying AP enzyme activity. Cellular toxicity of AAVs was evaluated with TUNEL and trypan blue assays. All three AAV serotypes transduced human corneal fibroblasts. The order of transduction efficiency was AAV2/6>>>AAV2/9>AAV2/8. The transduction efficiency of AAV2/6 was 30-50-fold higher (p < 0.001) for the human corneal fibroblasts compared to the AAV2/8 or AAV2/9 at two tested doses. The level of transgene expression at 4h was considerably low compared to 30 h suggesting that the transgene delivery did not reach its peak at 4h. Cultures exposed to any of the three AAV serotypes showed more than 97% cellular viability and less than 5 TUNEL positive cells suggesting that tested AAV serotypes do not induce significant cell death and are safe for corneal gene therapy.","['Sharma', 'Ghosh', 'Hansen']",1,17,"tropism, transduction efficiency, transduction, gene expression, transgene expression",liver,25,
,38276507,"Engineered AAV2.7m8 Serotype Shows Significantly Higher Transduction Efficiency of ARPE-19 and HEK293 Cell Lines Compared to AAV5, AAV8 and AAV9 Serotypes.",Pharmaceutics,2024,"The level of transduction efficiency of the target retinal cells affects the choice of AAV serotype and the outcome of gene replacement therapy for inherited retinal diseases. This study focused on the tropism and transduction efficiency of AAV2.7m8-, AAV5-, AAV8-, and AAV9-GFP in ARPE-19 and HEK293 cells. Fluorescence intensity was assessed bi-hourly by means of IncuCyte S3 live imaging microscopy. Within 12 h, AAV2.7m8 demonstrated the highest transduction efficiency at four viral concentrations of 1-, 3-, 6-, and 8 × 10<sup>4</sup> VG/cell in a dose-dependent manner, followed by AAV5 in ARPE-19 and AAV9 in HEK293 cells. The transduction efficiency of AAV2.7m8 at a dose of 6 × 10<sup>4</sup> VG/cell was 21, 202, and 323 times higher in ARPE-19 cells and 324, 100, and 52 times higher in HEK293 cells compared to AAV5, AAV8, and AAV9, respectively. This trend remained for 4 days at all viral concentrations, as additionally shown by flow cytometry. At a dose of 6 × 10<sup>4</sup> VG/cell, AAV2.7m8 (97% GFP-positive cells, GFP +) was nearly two and 10 times as efficient as AAV5 (52% GFP+) and AAV9 or AAV8 (both 9%), respectively, in ARPE-19 cells. In HEK293 cells, 95% of AAV2.7m8-, 26% of AAV9-, 17% of AAV8-, and 12% of AAV5-transduced cells were GFP-positive.","['Gurtsieva', 'Minskaia', 'Zhuravleva']",1,12,"tropism, transduction efficiency, transduction",,25,
,33446041,Host Immune Responses after Suprachoroidal Delivery of AAV8 in Nonhuman Primate Eyes.,Human gene therapy,2021,"The suprachoroid is a potential space located between the sclera and choroid of the eye, which provides a novel route for ocular drug or viral vector delivery. Suprachoroidal injection of adeno-associated virus (AAV)8 using transscleral microneedles enables widespread transgene expression in eyes of nonhuman primates, but may cause intraocular inflammation. We characterized the host humoral and cellular immune responses after suprachoroidal delivery of AAV8 expressing green fluorescent protein (GFP) in rhesus macaques, and found that it can induce mild chorioretinitis that resolves after systemic corticosteroid administration, with recovery of photoreceptor morphology, but persistent immune cell infiltration after 3 months, corresponding to a loss of GFP expression from retinal pigment epithelial cells, but persistent expression in scleral fibroblasts. Suprachoroidal AAV8 triggered B cell and T cell responses against GFP, but only mild antibody responses to the viral capsid compared to intravitreal injections of the same vector and dose. Systemic biodistribution studies showed lower AAV8 levels in liver and spleen after suprachoroidal injection compared with intravitreal delivery. Our findings suggest that suprachoroidal AAV8 primarily triggers host immune responses to GFP, likely due to sustained transgene expression in scleral fibroblasts outside the blood-retinal barrier, but elicits less humoral immune reactivity to the viral capsid than intravitreal delivery due to lower egress into systemic circulation. As GFP is not native to primates and not a clinically relevant transgene, suprachoroidal AAV delivery of human transgenes may have significant translational potential for retinal gene therapy.","['Chung', 'Mollhoff', 'Mishra']",1,10,"biodistribution, gene expression, transgene expression",liver,25,
,36284767,The engineered AAV2-HBKO promotes non-invasive gene delivery to large brain regions beyond ultrasound targeted sites.,Molecular therapy. Methods & clinical development,2022,"Magnetic resonance imaging-guided focused ultrasound combined with microbubbles injected in the bloodstream (MRIgFUS) temporarily increases the permeability of the blood-brain barrier (BBB), which facilitates the entry of intravenously administered adeno-associated viruses (AAVs) from the blood to targeted brain areas. To date, the properties of the AAVs used for MRIgFUS delivery resulted in cell transduction limited to MRIgFUS-targeted sites. Considering future clinical applications, strategies are needed to deliver genes to multiple locations and large brain volumes while creating minimal BBB modulation. Here we combine MRIgFUS with a vector that has enhanced biodistribution following brain entry, AAV2-HBKO, to mediate broad gene delivery to targeted brain regions at levels with potential therapeutic relevance. Expression of a reporter gene was achieved in 13% and 21% of all neurons present in the striatum and thalamus, respectively, while targeting only 28% of the brain regions with MRIgFUS. Compared with AAV9, MRIgFUS-mediated delivery of AAV2-HBKO showed greater diffusion in the brain and a higher percentage of the neurons expressing the transgene. MRIgFUS AAV2-HBKO gene delivery to the brain has the potential to reach levels that are functionally and clinically relevant, and this even when using relatively low intravenous AAV dosages, compared with what is currently used in clinical trials.","['Kofoed', 'Noseworthy', 'Wu']",1,10,"biodistribution, transduction","liver, brain, striatum",25,
,33768127,Cell-penetrating peptides enhance the transduction of adeno-associated virus serotype 9 in the central nervous system.,Molecular therapy. Methods & clinical development,2021,"Recombinant adeno-associated viruses (rAAVs) have been widely used in the gene therapy field for decades. However, because of the challenge of effectively delivering rAAV vectors through the blood-brain barrier (BBB), their applications for treatment of central nervous system (CNS) diseases are quite limited. In this study, we found that several cell-penetrating peptides (CPPs) can significantly enhance the <i>in vitro</i> transduction efficiency of AAV serotype 9 (AAV9), a promising AAV vector for treatment of CNS diseases, the best of which was the LAH4 peptide. The enhancement of AAV9 transduction by LAH4 relied on binding of the AAV9 capsid to the peptide. Furthermore, we demonstrated that the LAH4 peptide increased the AAV9 transduction in the CNS <i>in vitro</i> and <i>in vivo</i> after systemic administration. Taken together, our results suggest that CPP peptides can interact directly with AAV9 and increase the ability of this AAV vector to cross the BBB, which further induces higher expression of target genes in the brain. Our study will help to improve the applications of AAV gene delivery vectors for the treatment of CNS diseases.","['Meng', 'Sun', 'Qin']",1,9,"transduction efficiency, transduction","liver, brain",24,
,33553485,Rapid evolution of blood-brain-barrier-penetrating AAV capsids by RNA-driven biopanning.,Molecular therapy. Methods & clinical development,2021,"Therapeutic payload delivery to the central nervous system (CNS) remains a major challenge in gene therapy. Recent studies using function-driven evolution of adeno-associated virus (AAV) vectors have successfully identified engineered capsids with improved blood-brain barrier (BBB) penetration and CNS tropism in mouse. However, these strategies require transgenic animals and thus are limited to rodents. To address this issue, we developed a directed evolution approach based on recovery of capsid library RNA transcribed from CNS-restricted promoters. This RNA-driven screen platform, termed TRACER (Tropism Redirection of AAV by Cell-type-specific Expression of RNA), was tested in the mouse with AAV9 peptide display libraries and showed rapid emergence of dominant sequences. Ten individual variants were characterized and showed up to 400-fold higher brain transduction over AAV9 following systemic administration. Our results demonstrate that the TRACER platform allows rapid selection of AAV capsids with robust BBB penetration and CNS tropism in non-transgenic animals.","['Nonnenmacher', 'Wang', 'Child']",1,9,"tropism, transduction","liver, brain",24,
,29175632,Intravenous administration of the adeno-associated virus-PHP.B capsid fails to upregulate transduction efficiency in the marmoset brain.,Neuroscience letters,2018,"Intravenous administration of adeno-associated virus (AAV)-PHP.B, a capsid variant of AAV9 containing seven amino acid insertions, results in a greater permeability of the blood brain barrier (BBB) than standard AAV9 in mice, leading to highly efficient and global transduction of the central nervous system (CNS). The present study aimed to examine whether the enhanced BBB penetrance of AAV-PHP.B observed in mice also occurs in non-human primates. Thus, a young adult (age, 1.6 years) and an old adult (age, 7.2 years) marmoset received an intravenous injection of AAV-PHP.B expressing enhanced green fluorescent protein (EGFP) under the control of the constitutive CBh promoter (a hybrid of cytomegalovirus early enhancer and chicken β-actin promoter). Age-matched control marmosets were treated with standard AAV9-capsid vectors. The animals were sacrificed 6 weeks after the viral injection. Based on the results, only limited transduction of neurons (0-2%) and astrocytes (0.1-2.5%) was observed in both AAV-PHP.B- and AAV9-treated marmosets. One noticeable difference between AAV-PHP.B and AAV9 was the marked transduction of the peripheral dorsal root ganglia neurons. Indeed, the soma and axons in the projection from the spinal cord to the nucleus cuneatus in the medulla oblongata were strongly labeled with EGFP by AAV-PHP.B. Thus, except for the peripheral dorsal root ganglia neurons, the AAV-PHP.B transduction efficiency in the CNS of marmosets was comparable to that of AAV9 vectors.","['Matsuzaki', 'Konno', 'Mochizuki']",1,11,"transduction efficiency, transduction, intravenous administration","brain, spinal cord",24,
,31639391,Intrinsic Differential Scanning Fluorimetry for Fast and Easy Identification of Adeno-Associated Virus Serotypes.,Journal of pharmaceutical sciences,2020,"Recombinant adeno-associated virus (AAV) vectors have evolved as the most promising technology for gene therapy due to their good safety profile, high transduction efficacy, and long-term gene expression in non-dividing cells. AAV-based gene therapy holds great promise for treating genetic disorders like inherited blindness, muscular atrophy, or bleeding disorders. Multiple naturally occurring and engineered AAV serotypes exist, which differ in capsid sequence and as a consequence in cellular tropism. Individual AAV capsids differ in thermal stability and have a characteristic melting temperature (T<sub>m</sub>), which enables serotype-specific discrimination of AAV vectors. Differential scanning fluorimetry (DSF) combined with a dye-like SYPRO Orange (SO-DSF), which binds to hydrophobic regions of unfolded proteins, has been successfully applied to determine the T<sub>m</sub> of AAV capsids. Here, we present DSF measurement of intrinsic fluorescence signal (iDSF) as a simple alternative method for determination of AAV capsid T<sub>m</sub>. The study demonstrates that DSF measurement of intrinsic fluorescence signal is a simple, accurate, and rapid alternative to SO-DSF, which enables characterization of AAV capsid stability with excellent precision and without the need of SO or any other dye.","['Rieser', 'Penaud-Budloo', 'Bouzelha']",1,9,"tropism, transduction, gene expression",,24,
,41431697,Ineffective behavioral rescue despite partial brain Dp427 restoration by AAV9-U7-mediated exon 51 skipping in <i>mdx52</i> mice.,Molecular therapy. Nucleic acids,2025,"The <i>mdx52</i> mouse model exhibits a common mutation profile associated with brain involvement in Duchenne muscular dystrophy (DMD), characterized by heightened anxiety, fearfulness, and impaired associative fear learning. Deletion of exon 52 disrupts the expression of two dystrophins found in the brain (Dp427 and Dp140) and is eligible for therapeutic exon-skipping strategies. We previously demonstrated that a single intracerebroventricular administration of an antisense oligonucleotide (ASO) targeting exon 51 of the <i>Dmd</i> gene could restore 5%-15% of Dp427 expression. This treatment reduced anxiety and unconditioned fear in <i>mdx52</i> mice, improved fear conditioning acquisition, and partially improved fear memory tested 24 h later. To improve the restoration of Dp427 and induce a long-lasting therapeutic effect, we employed a vectorized approach using an adeno-associated virus (AAV)-U7 small nuclear RNA vector to deliver antisense sequences to the brains of <i>mdx52</i> mice. We evaluated two AAV serotypes known for their brain transduction efficiency (AAV9 and RH10) and two delivery routes, intracisterna magna and intracerebroventricular (ICV) injections, to maximize brain targeting. Based on GFP expression data, we selected the AAV9 capsid and a bilateral ICV delivery route. Using this approach, we demonstrated that ICV administration of AAV9-U7-Ex51M induced exon 51 skipping and restored Dp427 expression in the brains of adult <i>mdx52</i> mice, though with significant variability among individuals. While a few mice showed high Dp427 expression levels, the average restoration was limited to approximately 6%-12%. In conclusion, inducing exon skipping in the brains of adult <i>mdx52</i> mice using the vectorized AAV9-U7 approach was less effective than synthetic ASO treatment and did not improve the emotional behavior of <i>mdx52</i> mice.","['Vacca', 'Saoudi', 'Doisy']",1,9,"transduction efficiency, transduction","liver, brain",24,
,33505247,AAV Targeting of Glial Cell Types in the Central and Peripheral Nervous System and Relevance to Human Gene Therapy.,Frontiers in molecular neuroscience,2020,"Different glial cell types are found throughout the central (CNS) and peripheral nervous system (PNS), where they have important functions. These cell types are also involved in nervous system pathology, playing roles in neurodegenerative disease and following trauma in the brain and spinal cord (astrocytes, microglia, oligodendrocytes), nerve degeneration and development of pain in peripheral nerves (Schwann cells, satellite cells), retinal diseases (Müller glia) and gut dysbiosis (enteric glia). These cell type have all been proposed as potential targets for treating these conditions. One approach to target these cell types is the use of gene therapy to modify gene expression. Adeno-associated virus (AAV) vectors have been shown to be safe and effective in targeting cells in the nervous system and have been used in a number of clinical trials. To date, a number of studies have tested the use of different AAV serotypes and cell-specific promoters to increase glial cell tropism and expression. However, true glial-cell specific targeting for a particular glial cell type remains elusive. This review provides an overview of research into developing glial specific gene therapy and discusses some of the issues that still need to be addressed to make glial cell gene therapy a clinical reality.","[""O'Carroll"", 'Cook', 'Young']",1,9,"tropism, gene expression","brain, spinal cord",24,
